ID_Client,Annee_Naissance,Niveau_Education,Statut_Marital,Revenu,Enfants_Maison,Ados_Maison,Date_Inscription,Jours_Dernier_Achat,Achat_Vins,Achat_Fruits,Achat_Viandes,Achat_Poissons,Achat_Produits_Sucres,Achat_Produits_Or,Achats_Promotions,Achats_En_Ligne,Achats_Catalogue,Achats_En_Magasin,Visites_Web_Mois,Reponse_Campagne_3,Reponse_Campagne_4,Reponse_Campagne_5,Reponse_Campagne_1,Reponse_Campagne_2,Plainte,Cout_Contact_Z,Revenus_Z,Reponse_Derniere_Campagne,Statut_Marital_Texte,Total_Depense,Total_Achats,Depense_Moy_Par_Achat,Total_Campagnes_Acceptees,Jour_Inscription,Revenu_Moyen_Mois,Age_Inscription,Categorie_Age,Niveau_Education_Encode,Segmentation_Dépensier,cout par campagne,revenue par campagne
1993,1949,PhD,couple,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,Married,972,14,57.1764705882353,1,Sunday,4883.916666666667,63,Senior (51-65),4,Moyens Dépensier,0.5,1.8333333333333333
4047,1954,PhD,couple,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,Married,544,17,27.2,0,Saturday,5443.666666666667,60,Senior (51-65),4,Moyens Dépensier,0.5,1.8333333333333333
1409,1951,Graduation,couple,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,Together,444,13,22.2,0,Monday,3390.75,62,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
7892,1969,Graduation,single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,Single,75,6,9.375,0,Wednesday,1549.0833333333333,44,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
2404,1976,Graduation,couple,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,Married,257,10,18.357142857142858,0,Monday,4446.583333333333,37,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
5255,1986,Graduation,single,0.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,Single,637,27,23.59259259259259,0,Wednesday,0.0,27,Adulte (26-35),2,Moyens Dépensier,0.5,1.8333333333333333
9422,1989,Graduation,couple,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,Married,131,7,14.555555555555555,0,Friday,3196.6666666666665,24,Jeune (18-25),2,Moyens Dépensier,0.5,1.8333333333333333
1966,1965,PhD,couple,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,Married,1672,25,64.3076923076923,1,Friday,7051.5,48,Adulte confirmé (36-50),4,Grand Dépensier,0.5,1.8333333333333333
6864,1989,Master,single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,Divorced,30,6,3.75,0,Thursday,914.9166666666666,25,Jeune (18-25),3,Petits Dépensier,0.5,1.8333333333333333
3033,1963,Master,couple,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Together,318,10,28.90909090909091,0,Saturday,3218.333333333333,50,Adulte confirmé (36-50),3,Moyens Dépensier,0.5,1.8333333333333333
5710,1970,Graduation,couple,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,Together,120,7,13.333333333333334,1,Wednesday,3379.0,42,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
7373,1952,PhD,single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,Divorced,302,11,17.764705882352942,0,Monday,3884.1666666666665,60,Senior (51-65),4,Moyens Dépensier,0.5,1.8333333333333333
8755,1946,Master,couple,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,Married,1196,17,66.44444444444444,0,Wednesday,5721.416666666667,67,Vétéran (65+),3,Grand Dépensier,0.5,1.8333333333333333
10738,1951,Master,single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,Single,65,5,10.833333333333334,0,Thursday,4115.75,62,Senior (51-65),3,Petits Dépensier,0.5,1.8333333333333333
4339,1970,PhD,couple,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,Married,913,23,32.607142857142854,0,Tuesday,5612.75,43,Adulte confirmé (36-50),4,Moyens Dépensier,0.5,1.8333333333333333
10755,1976,2n Cycle,couple,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,Married,81,6,9.0,0,Monday,1976.5,37,Adulte confirmé (36-50),1,Moyens Dépensier,0.5,1.8333333333333333
8595,1973,Graduation,single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Widow,67,5,9.571428571428571,0,Tuesday,3535.75,41,Adulte confirmé (36-50),2,Petits Dépensier,0.5,1.8333333333333333
2968,1943,PhD,single,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,Divorced,902,22,37.583333333333336,1,Friday,4079.0,70,Vétéran (65+),4,Moyens Dépensier,0.5,1.8333333333333333
8601,1980,Graduation,couple,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,Married,1395,19,66.42857142857143,0,Monday,6667.583333333333,33,Adulte (26-35),2,Grand Dépensier,0.5,1.8333333333333333
503,1985,Master,couple,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Married,53,5,7.571428571428571,0,Tuesday,1713.25,28,Adulte (26-35),3,Petits Dépensier,0.5,1.8333333333333333
8430,1957,Graduation,couple,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,Together,22,3,5.5,0,Monday,1832.8333333333333,55,Senior (51-65),2,Petits Dépensier,0.5,1.8333333333333333
7281,1959,PhD,single,0.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,Single,186,8,20.666666666666668,0,Tuesday,0.0,54,Senior (51-65),4,Moyens Dépensier,0.5,1.8333333333333333
2139,1975,Master,couple,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,Married,31,5,3.875,0,Wednesday,625.0,38,Adulte confirmé (36-50),3,Petits Dépensier,0.5,1.8333333333333333
1371,1976,Graduation,single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,Single,984,15,61.5,0,Saturday,6661.75,38,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
9909,1996,2n Cycle,couple,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,Married,122,7,12.2,0,Friday,625.0,16,Jeune (18-25),1,Moyens Dépensier,0.5,1.8333333333333333
7286,1968,Graduation,couple,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,Together,55,4,11.0,0,Friday,3477.333333333333,45,Adulte confirmé (36-50),2,Petits Dépensier,0.5,1.8333333333333333
7244,1951,Graduation,single,0.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,Single,124,7,12.4,0,Wednesday,0.0,63,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
6566,1954,PhD,couple,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,Married,1319,19,47.10714285714285,0,Thursday,6045.833333333333,58,Senior (51-65),4,Grand Dépensier,0.5,1.8333333333333333
8614,1957,Graduation,single,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,Widow,507,16,29.823529411764707,0,Monday,5457.166666666667,57,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
4114,1964,Master,couple,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,Married,1693,28,58.37931034482759,0,Saturday,6595.25,48,Adulte confirmé (36-50),3,Grand Dépensier,0.5,1.8333333333333333
1331,1977,Graduation,single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Single,72,5,10.285714285714286,0,Wednesday,2982.5,36,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
2225,1977,Graduation,single,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,Divorced,1617,20,77.0,2,Saturday,6881.833333333333,37,Adulte confirmé (36-50),2,Grand Dépensier,0.5,1.8333333333333333
9381,1978,Graduation,couple,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,Married,606,16,26.347826086956523,0,Wednesday,5531.083333333333,35,Adulte (26-35),2,Moyens Dépensier,0.5,1.8333333333333333
6260,1955,Master,couple,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,Together,1957,26,72.48148148148148,1,Monday,6865.333333333333,57,Senior (51-65),3,Grand Dépensier,0.5,1.8333333333333333
10383,1966,Graduation,single,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,Divorced,1093,20,52.04761904761905,0,Tuesday,5857.25,47,Adulte confirmé (36-50),2,Grand Dépensier,0.5,1.8333333333333333
7437,1988,Graduation,single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,Single,29,5,4.833333333333333,0,Monday,2328.1666666666665,26,Adulte (26-35),2,Petits Dépensier,0.5,1.8333333333333333
8557,1982,Graduation,single,0.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,Single,46,5,6.571428571428571,0,Monday,0.0,31,Adulte (26-35),2,Petits Dépensier,0.5,1.8333333333333333
8375,1968,PhD,couple,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,Married,518,16,27.26315789473684,0,Monday,4662.833333333333,46,Adulte confirmé (36-50),4,Moyens Dépensier,0.5,1.8333333333333333
6853,1982,Master,single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,Single,1438,20,68.47619047619048,2,Thursday,6314.75,31,Adulte (26-35),3,Grand Dépensier,0.5,1.8333333333333333
3076,1975,Graduation,couple,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,Together,612,18,27.818181818181817,0,Friday,5554.416666666667,37,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
1012,1952,Graduation,single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,Single,884,20,36.833333333333336,0,Monday,5151.916666666667,61,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
6518,1951,PhD,single,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,Widow,606,18,31.894736842105264,0,Tuesday,5640.0,62,Senior (51-65),4,Moyens Dépensier,0.5,1.8333333333333333
4137,1948,Graduation,couple,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,Together,1076,15,67.25,0,Friday,5888.833333333333,65,Senior (51-65),2,Grand Dépensier,0.5,1.8333333333333333
8082,1971,Graduation,couple,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,Married,34,4,6.8,0,Tuesday,2143.4166666666665,42,Adulte confirmé (36-50),2,Petits Dépensier,0.5,1.8333333333333333
1386,1967,Graduation,couple,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Together,11,3,2.75,0,Sunday,2706.1666666666665,47,Adulte confirmé (36-50),2,Petits Dépensier,0.5,1.8333333333333333
9369,1979,2n Cycle,single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,Single,1274,31,39.8125,2,Wednesday,7349.5,35,Adulte (26-35),1,Grand Dépensier,0.5,1.8333333333333333
4477,1958,Graduation,couple,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,Together,653,17,36.27777777777778,0,Friday,5758.0,55,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
1357,1970,Graduation,couple,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,Together,1562,12,82.21052631578948,0,Monday,6237.833333333333,43,Adulte confirmé (36-50),2,Grand Dépensier,0.5,1.8333333333333333
1402,1954,Master,couple,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,Married,1253,18,59.66666666666666,0,Tuesday,5582.583333333333,58,Senior (51-65),3,Grand Dépensier,0.5,1.8333333333333333
10629,1973,2n Cycle,couple,0.0,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Married,109,6,12.11111111111111,0,Friday,0.0,39,Adulte confirmé (36-50),1,Moyens Dépensier,0.5,1.8333333333333333
6312,1959,Graduation,couple,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,Married,863,26,28.766666666666666,0,Sunday,5419.25,54,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
8132,1975,PhD,couple,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,Married,661,19,27.541666666666668,1,Friday,5052.583333333333,38,Adulte confirmé (36-50),4,Moyens Dépensier,0.5,1.8333333333333333
1050,1952,Graduation,couple,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,Married,65,7,8.125,0,Wednesday,2361.0,62,Senior (51-65),2,Petits Dépensier,0.5,1.8333333333333333
5846,1977,Graduation,single,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,Divorced,13,3,3.25,0,Wednesday,3353.833333333333,35,Adulte (26-35),2,Petits Dépensier,0.5,1.8333333333333333
1859,1972,Master,couple,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,Married,1890,18,99.47368421052632,0,Monday,6270.916666666667,40,Adulte confirmé (36-50),3,Grand Dépensier,0.5,1.8333333333333333
7503,1976,Graduation,single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,Single,2209,22,100.4090909090909,1,Friday,6318.75,36,Adulte confirmé (36-50),2,Grand Dépensier,0.5,1.8333333333333333
10401,1976,2n Cycle,couple,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,Together,18,3,4.5,0,Wednesday,2193.833333333333,37,Adulte confirmé (36-50),1,Petits Dépensier,0.5,1.8333333333333333
1618,1965,Graduation,couple,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,Together,692,19,32.95238095238095,1,Wednesday,4670.5,48,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
3332,1985,Graduation,single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,Single,165,8,13.75,0,Wednesday,2480.0,27,Adulte (26-35),2,Moyens Dépensier,0.5,1.8333333333333333
2261,1969,Graduation,couple,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Married,16,3,4.0,0,Sunday,2192.0,44,Adulte confirmé (36-50),2,Petits Dépensier,0.5,1.8333333333333333
5346,1973,2n Cycle,couple,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,Married,79,6,8.777777777777779,0,Wednesday,1963.25,40,Adulte confirmé (36-50),1,Moyens Dépensier,0.5,1.8333333333333333
4119,1963,Master,couple,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Together,318,10,28.90909090909091,0,Saturday,3218.333333333333,50,Adulte confirmé (36-50),3,Moyens Dépensier,0.5,1.8333333333333333
535,1987,Graduation,single,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,Divorced,778,26,28.814814814814813,0,Tuesday,6780.083333333333,27,Adulte (26-35),2,Moyens Dépensier,0.5,1.8333333333333333
5268,1960,Graduation,couple,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,Married,56,5,8.0,0,Sunday,2453.333333333333,53,Senior (51-65),2,Petits Dépensier,0.5,1.8333333333333333
273,1970,Master,couple,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,Married,151,8,11.615384615384617,1,Tuesday,3011.5,43,Adulte confirmé (36-50),3,Moyens Dépensier,0.5,1.8333333333333333
4452,1957,Graduation,single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,Single,372,13,21.88235294117647,2,Wednesday,4199.0,57,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
8504,1973,Graduation,couple,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,Married,1366,18,71.89473684210526,1,Monday,6632.75,41,Adulte confirmé (36-50),2,Grand Dépensier,0.5,1.8333333333333333
771,1967,Graduation,couple,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,Together,194,9,19.4,0,Tuesday,4514.833333333333,47,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
8996,1957,PhD,couple,0.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,Married,603,17,20.79310344827586,0,Monday,0.0,55,Senior (51-65),4,Moyens Dépensier,0.5,1.8333333333333333
9235,1957,Graduation,single,0.0,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Single,18,3,4.5,0,Tuesday,0.0,57,Senior (51-65),2,Petits Dépensier,0.5,1.8333333333333333
5798,1973,Master,couple,0.0,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,Together,985,14,65.66666666666667,0,Saturday,0.0,40,Adulte confirmé (36-50),3,Moyens Dépensier,0.5,1.8333333333333333
11178,1972,Master,single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Single,32,4,6.4,0,Sunday,3532.833333333333,42,Adulte confirmé (36-50),3,Petits Dépensier,0.5,1.8333333333333333
2230,1970,PhD,couple,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,Married,43,7,4.3,0,Saturday,1968.8333333333333,44,Adulte confirmé (36-50),4,Petits Dépensier,0.5,1.8333333333333333
7516,1983,Graduation,couple,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,Married,45,5,7.5,0,Thursday,2508.0,31,Adulte (26-35),2,Petits Dépensier,0.5,1.8333333333333333
7247,1960,Graduation,single,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,Widow,606,17,27.545454545454547,1,Thursday,3993.0,52,Senior (51-65),2,Moyens Dépensier,0.5,1.8333333333333333
